year,imdb,title,test,clean_test,binary,budget,domgross,intgross,genre,Horror,Comedy,Action,Romance,Sci-Fi,Drama,Historic Fiction,Fantasy,Thriller,Sum
2006,tt0417225,Idlewild,ok,ok,PASS,15000000,12669914,12669914,"Crime, Drama, Musical",0,0,0,0,0,1,0,0,0,1
2006,tt0454848,Inside Man,dubious-disagree,dubious,FAIL,50000000,88634237,184634237,"Crime, Drama, Mystery",0,0,0,0,0,1,0,0,0,1
2006,tt0493430,Jackass Number Two,notalk,notalk,FAIL,11000000,72778712,85278712,"Action, Comedy, Documentary",0,1,1,0,0,0,1,0,0,3
2006,tt0452637,Lady in the Water,men,men,FAIL,75000000,42285169,72785169,"Drama, Fantasy, Mystery",0,0,0,0,0,1,0,1,0,2
2006,tt0408985,Last Holiday,ok,ok,PASS,45000000,38399961,43343247,"Comedy, Romance",0,1,0,1,0,0,0,0,0,2
2006,tt0498380,Letters from Iwo Jima,notalk,notalk,FAIL,13000000,13756082,68756082,"Action, Adventure, Drama",0,0,1,0,0,1,0,0,0,2
2006,tt0404203,Little Children,ok,ok,PASS,14000000,5463019,14763019,"Comedy, Drama, Romance",0,1,0,1,0,1,0,0,0,3
2006,tt0449059,Little Miss Sunshine,ok,ok,PASS,8000000,59891098,100550977,"Comedy, Drama",0,1,0,0,0,1,0,0,0,2
2006,tt0490166,London To Brighton,ok,ok,PASS,825000,,610776,"Crime, Drama, Thriller",0,0,0,0,0,1,0,0,1,2
2006,tt0425210,Lucky Number Slevin,notalk-disagree,notalk,FAIL,27000000,22495466,55495466,"Crime, Drama, Mystery",0,0,0,0,0,1,0,0,0,1
2006,tt0483726,Man of the Year,notalk,notalk,FAIL,20000000,37442180,41342180,"Comedy, Drama, Romance",0,1,0,1,0,1,0,0,0,3
2006,tt0422720,Marie Antoinette,ok,ok,PASS,40000000,15962471,60862471,"Biography, Drama, History",0,0,0,0,0,1,1,0,0,2
2006,tt0482546,Miss Potter,ok,ok,PASS,30000000,3005605,35891257,"Biography, Drama",0,0,0,0,0,1,1,0,0,2
2006,tt0385880,Monster House,ok,ok,PASS,75000000,73661010,141267370,"Animation, Comedy, Family",0,1,0,0,0,0,0,0,0,1
2006,tt0457510,Nacho Libre,nowomen-disagree,nowomen,FAIL,32000000,80197993,99296462,"Comedy, Family, Sport",0,1,0,0,0,0,0,0,0,1
2006,tt0477347,Night at the Museum,ok,ok,PASS,110000000,250863268,574480841,"Adventure, Comedy, Family",0,1,1,0,0,0,0,0,0,2
2006,tt0465551,Notes on a Scandal,ok,ok,PASS,27500000,17510118,49752391,"Crime, Drama, Romance",0,0,0,1,0,1,0,0,0,2
2006,tt0907657,Once,men,men,FAIL,150000,9445857,18997174,"Drama, Music, Romance",0,0,0,1,0,1,0,0,0,2
2006,tt0400717,Open Season,notalk,notalk,FAIL,85000000,85105259,189901703,"Animation, Adventure, Comedy",0,1,1,0,0,0,0,0,0,2
